,MLS #,Type,Status,City,Address,Unit Number,Price,Bedrooms,Total Bathrooms,Days On Market,Listing Date,Closing Date,Short Sale Y/N,Approx Sq Ft,Total Rooms,Bank Owned Y/N,Days On MLS,Monthly Maintenance Fee,Short Sale (Y/N),PARKING AVAILABLE,PARKING AVAILABLE.1,PARKING AVAILABLE.2,Zip,Elevator,A/C Central,A/C Central.1,A/C Central.2,Terrace,Terrace.1,Terrace.2,Washer/Dryer,Washer/Dryer.1,Washer/Dryer.2,Taxes,Doorman,Doorman.1,Exercise Room,Exercise Room.1,Health Club,Health Club.1,New York View,New York View.1,New York View.2,River View,River View.1,River View.2,Street_Num,Street_Name,Neighborhood,City_X,Zip_Code,Latitude,Longitude
2275,503460,Condominium,SOLD,"JC, Downtown",231 3RD ST,B,"$329,900 ",1.0,1.0,60,4/18/2005,10/11/2005,,560.0,3.0,,56,,,,None,,7302,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,231,3rd St,Not Found,Hoboken,07030,40.740491,-74.0328724
2276,60003351,Condominium,SOLD,Hoboken,414 MADISON ST,4F,"$329,900 ",1.0,1.0,20,3/14/2006,7/19/2006,,550.0,3.0,,12,232.0,,,None,,7030,No,,No,,,No,,,No,,2630,No,,No,,No,,,No,,,No,,414,Madison St,Not Found,Hoboken,07030,40.7433377,-74.0378781
2277,60012629,Condominium,SOLD,"JC, West Bergen",13 BUTTERNUT ST,,"$329,900 ",2.0,1.0,5,9/22/2006,10/31/2006,,1400.0,5.0,,0,180.0,,,2 Cars,,7305,No,,Yes,,,No,,,Yes,,3800,No,,No,,No,,,No,,,Yes,,13,Butternut St,Hackensack River Waterfront,Jersey City,07305,40.7084462,-74.1050987
2278,60010986,One Family,SOLD,North Bergen,7421 DURHAM AVE,,"$329,900 ",2.0,2.0,90,8/22/2006,1/12/2007,,,4.0,,88,,,None,,,7047,,No,,,,,No,Yes,,,4376,,,,,,,No,,,No,,,7421,Durham Ave,Not Found,North Bergen,07047,40.8021642,-74.0156692
2279,60009907,Condominium,SOLD,Hoboken,734 ADAMS ST,5B,"$329,900 ",1.0,1.0,319,7/27/2006,7/30/2007,,537.0,4.0,,315,205.0,,,Other-See Remarks,,7030,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,734,Adams St,Not Found,Hoboken,07030,40.7470672,-74.0347945
2280,60012696,Condominium,SOLD,Hoboken,734 ADAMS ST,4B,"$329,900 ",2.0,1.0,325,9/22/2006,9/28/2007,,537.0,4.0,,318,205.0,,,Other-See Remarks,,7030,No,,No,,,No,,,No,,,No,,No,,No,,,No,,,No,,734,Adams St,Not Found,Hoboken,07030,40.7470672,-74.0347945
2281,80010694,Condominium,SOLD,Hoboken,330 MADISON ST,4,"$329,900 ",1.0,1.0,8,8/10/2008,9/18/2008,,520.0,3.0,,8,195.0,,,"Other-See Remarks, None",,07030-1984,No,,No,,,No,,,No,,2400,No,,No,,No,,,No,,,No,,330,Madison St,Not Found,Hoboken,07030,40.7425317,-74.0381235
2282,120004190,One Family,SOLD,Lodi,15 MC KINLEY AVE,,"$329,900 ",4.0,3.0,4,4/9/2012,6/6/2012,No,,9.0,No,4,,,"1 Car, Attached, Garage",,,07644-2918,,Yes,,,,,No,No,,,7500,,,,,,,No,,,No,,,Not Found,Not Found,Not Found,Lodi,Not Found,40.8823215,-74.0831971
2283,308668,Condominium,SOLD,"JC, Downtown",111 EAST SHEARWATER CT,34,"$330,000 ",1.0,1.0,94,10/28/2003,3/31/2004,,1210.0,5.0,,92,580.0,,,"1 Car, Garage",,7305,Yes,,Yes,,,Yes,,,Yes,,,Yes,,Yes,,Yes,,,Yes,,,Yes,,111,E Shearwater Ct,Not Found,Jersey City,07305,40.6866056,-74.0720201
2284,400828,Condominium,SOLD,"JC, Heights",63 SHERMAN PL,A1,"$330,000 ",3.0,2.0,8,2/2/2004,4/5/2004,,1600.0,6.0,,6,401.0,,,None,,,No,,No,,,No,,,Yes,,3482,No,,No,,No,,,No,,,No,,63,Sherman Pl,The Heights,Jersey City,07307,40.7449165,-74.0538019
